String	文字列
Math	数学
Trigonometric/Hyperbolic	三角関数/双曲線関数
Date and Time	日付と時間
Statistics	統計
Distributions - CDF	分布関数 - CDF
Distributions - PDF	分布関数 - PDF
Distributions - INV	分布関数 - INV
Data Generation	データ生成
Dataset Information	データセット情報
Data Manipulation	データ操作
NAG Special - Airy	NAG特殊 - Airy
NAG Special - Bessel	NAG特殊 - Bessel
NAG Special - Error	NAG特殊 - Error
NAG Special - Gamma	NAG特殊 - Gamma
NAG Special - Integral	NAG特殊 - Integral
NAG Special - Kelvin	NAG特殊 - Kelvin
NAG Special - Miscellaneous	NAG特殊 - その他
Fitting Functions - Origin Basic Functions	Fitting Functions - Origin Basic Functions
Fitting Functions - Implicit	Fitting Functions - Implicit
Fitting Functions - Exponential	Fitting Functions - Exponential
Fitting Functions - Growth/Sigmoidal	Fitting Functions - Growth/Sigmoidal
Fitting Functions - Hyperbola	Fitting Functions - Hyperbola
Fitting Functions - Logarithm	Fitting Functions - Logarithm
Fitting Functions - Peak Functions	Fitting Functions - Peak Functions
Fitting Functions - Piecewise	Fitting Functions - Piecewise
Fitting Functions - Polynomial	Fitting Functions - Polynomial
Fitting Functions - Power	Fitting Functions - Power
Fitting Functions - Rational	Fitting Functions - Rational
Fitting Functions - Waveform	Fitting Functions - Waveform
Fitting Functions - Surface Fitting	Fitting Functions - Surface Fitting
Fitting Functions - PFW	Fitting Functions - PFW
Fitting Functions - Baseline	Fitting Functions - Baseline
Fitting Functions - Chromatography	Fitting Functions - Chromatography
Fitting Functions - Electrophysiology	Fitting Functions - Electrophysiology
Fitting Functions - Pharmacology	Fitting Functions - Pharmacology
Fitting Functions - Spectroscopy	Fitting Functions - Spectroscopy
Fitting Functions - Statistics	Fitting Functions - Statistics
Fitting Functions - Quick Fit	Fitting Functions - Quick Fit
Engineering	エンジニアリング
Complex	複素数
Miscellaneous	その他
